3.26377E+17,N,Do U know what Medications are R for bipolar depression? Currently #FDA approved lamotrigine AKA #Lamictal
3.26399E+17,Y,I think my tablets have made me gain weight. Anyone on fluoxetine/prozac? #replytweet
3.26406E+17,Y,Thought of work is overwhelming me so much I feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin
3.26407E+17,N,@awakenings_ ziprasidone and olanzapine I.m. Both has less metabolic syndrome effect.and used in ER for acute agitation
3.26453E+17,N,#ÙƒÙ_ÙÅ_ØªØªØ®Ù„Øµ_Ù…Ù†_Ø§Ù„Ø§ÙƒØªØ_Ø§Ø¨ Ø¬Ø±Ø¨ Venlafaxine
3.26454E+17,N,@virk_257_PTI f u.i wanted city to retain their title.you can now start your trazodone infusion to solve your #rvpvolley priapism.
3.26457E+17,N,My urologist today said that trazodone can cause priapism. Which is an erection lasting 4 hours. I will never take that sleeping pill again
3.26468E+17,N,Right then! The olanzapine is working so I am off to bed. Goodnight x
3.26505E+17,N,s/o to someone giving me an ambien that I later found to be quetiapine... good thing I'm not a fucking retard
3.26524E+17,N," Medical student died after taking banned weight loss drug bought online: She was prescribed anti-depressant Fluoxetine, but had bee..."
3.26569E+17,N,Took my trazodone so see you later
3.26627E+17,N,"Someone up here who takes ""Fluoxetine"" antidepressiva? I already have 20 grams a day, but I'll probably get more. Any experiences?"
3.26663E+17,N,"Compston - women on 5 years alendronate have reduced risk of vertebral fracture, if ALN continued for further 5 years ^CN #Rheum2013"
3.26664E+17,N,Compston - data not clear on when to stop risedronate therapy in #osteoporosis ^CN #Rheum2013
3.26665E+17,Y,"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that BMI thing I'm obese, which I'm clearly not."
3.2667E+17,N,"@Selkie1970 no, dosage of the thing that regulates moods and hot flashes. Venlafaxine."
3.26777E+17,N,@GordonAlanBeard @rtaylor_mep @janebyfield actually inhaled nicotine vapour IS studied - by Pharma - Nicotrol inhaler. Good enuff 4 them...
3.26834E+17,N,"@bipolarvoice and remember ""it's for the lack of quetiapine, it's not me"". my doctor says that it works"
3.26864E+17,N,"These aids are prefab gush in reference to nicotine hunger gum/lozenges, inhalers, sprays yet patches, everythin:"
3.26867E+17,N,"@mousebert ciprofloxacin ophthalmic for bacterial, caused by the common cold and shit."
3.26899E+17,N,The finding of an increased risk for a cardiac defect after exposure to paroxetine could well be random as a consequence of multiple testing
3.26904E+17,N,"When the Doctor says to start taking your medication again. Hello ~Lexapro, Topamax, & Trazodone"
3.26928E+17,Y,But I don't want to take an ambien or trazodone or anything because i dint wanna restart my dependence upon them
3.26932E+17,N,@BBCPolitics Yea right. It's the calm before the storm. Either that or the fluoxetine in the water is beginning to work.
3.26964E+17,N,@esyeyo watchu know bout dat trazodone
3.27034E+17,N,"Lets start with 10 paracetamol, 10 diclofenac sodium, 10 domperidone and 10 ciprofloxacin. Eat at once then see what will happen ?"
3.27072E+17,N,Haven't been with this team a month and I've been let down again & again. Supposed to be going up on the lamotrigine but nope not happening
3.2713E+17,N,@JimmyShea26 you forgot your trazodone #littleleague
3.27147E+17,N,"@profsocialwork @mhchat Anti -epileptics mainly lamotrigine, which I take"
3.27148E+17,Y,@mc_elhill @mhchat @womblegeorge #mhchat I had sleep paralysis every night for four months when I took quetiapine in addition to lamotrigine
3.27154E+17,N,@daronjames1 It's really rare to experience that on quetiapine- I get all the strange side effects :(
3.27164E+17,N,Which wine goes well with a nicotine lozenge?
3.27179E+17,N,@jorgep63 slightly depressed are we..... Take some fluoxetine stuff is dynamite
3.27264E+17,N,@thinprettybones not everyone gains wt when they quit. Some meds that help you quit (Zyban & Nicotine lozenge) prevent wt gain.#quitsmoking
3.273E+17,N,Am I prepared for my spend the night party at RBD? Vyvanse....Check Caffeine.....Check Nicotine ....Check An endless amount of work...Check
3.27324E+17,Y,My battle continues with Olanzapine weight gain with a bowl of porridge and a 9am bootcamp #iwillwin
3.27331E+17,N,"@MelissaStetten in ten minutes i'm popping a trazodone so after that i don't promise anything like, revolutionary"
3.27334E+17,N,"@vyvansethoughts Finals Week consists of the 3 -ine's: Caffeine, Nicotine, and Amphetamine."
3.27383E+17,N,"@NellFrizzell @eleanormorgan Oh god. She needs a daily dose of 37.5 mg of venlafaxine for two weeks, administered orally not a word ellie."
3.27492E+17,N,@KrmWng yeah Fluoxetine 20mg once daily dose....:-) Me alrdy started...
3.27502E+17,N,"20mg of fluoxetine, please. Does this come in a homeopathic dose? Everyone keeps telling me to smile and my response is always kill yourself"
3.27527E+17,N,@nirvanaas I do! :) well mines is called fluoxetine but its just another name for it! :) I've had no problems or side effects at all!
3.2755E+17,N,"@CMichaelGibson, so I guess trazodone, or other psychiatric drugs are not as common either...."
3.27567E+17,N,Bed now having 1st evr bloods done in morning since starting quetiapine in nov & I had ask for this as was Not told necessary by MH team !!
3.27574E+17,N,A whole lotta trazodone
3.27576E+17,N,Haladol and Trazodone on top of my mental and physical exhaustion. Have a good night cunts.
3.27621E+17,N,"PTSD is extremely difficult to treat.Not sure why Seroquel(quetiapine),which is such an emerging treatment in depression, is being demonised"
3.27635E+17,N,Primadol and Levofloxacin again zz :'(
3.27657E+17,N,tonight has been brought to you by ciprofloxacin and hydrocodone.
3.27704E+17,N,"Hey there Kraken this is Trazodone, Trazodone meet Kraken and his friend sleepy time."
3.27741E+17,Y,been taking low dosage of paroxetine for the last two years and only recently found out that a common side affect is pinsandneedles.
3.27756E+17,N,"I need 14,000mg of quetiapine to die for sure (gotta love google)...I probably only have about 3,000mg #FUCKMYLIFE"
3.27764E+17,N,Lecturer has spelled olanzapine three different ways in the space of two slides #olazapine #olanzepine #closebutnocigar
3.27791E+17,Y,@RayvenMental Yeah the first time I was on olanzapine I did not put much weight on but 2nd time I did! Weird!
3.27794E+17,Y,After taking olanzapine I wake up and feel like I am in a straight jacket because my muscles feel stiff
3.27829E+17,N,"Journal Articles Fulminant Hepatic Failure in Association With Quetiapine Journal of Medical Case Reports, April 26, 2013"
3.2783E+17,N,I've been feeling good all week. I'm taking 300Mg of Wellbutrin and Abilify in the morning and 150Mg of Wellburtin and Trazodone at night.
3.27857E+17,N,@LiveLoveLaquay @pook_montana nah I don't buy nicotine
3.27862E+17,N,Poor thing was in a bad way when I got home. Diazepam has helped. Put him back on olanzapine so hopefully he'll be better tomorrow.
3.27862E+17,N,What's IV incompatible with ciprofloxacin??
3.27872E+17,N,@heather20022002 I had Ciprofloxacin I thought that was pretty strong. Or is that a general one?
3.27919E+17,N,@mco0p I call them fluoxetine and diazepam. I'll tell you all about them in about 2 weeks
3.27947E+17,N,@darlinmelissa1 @celticcomet Well it's brought my oxygen % up and they gave me levofloxacin 750 mg through an IV..
3.28028E+17,N,"Ciprofloxacin has its dealing swish incidental sectors further esteem grassy, trim supplements, thyroid medicati:"
3.28054E+17,Y,@wickychoo @LollyGee OMG ALL THE SPECIAL PLACES. I'm not drunk. It's the fluoxetine.
3.28142E+17,N,"Fluoxetine""@Tegbe: News to me. Which one in particular? RT @K3hinde: Wait. SSRIs relieve PMS symptoms? :O :O"""
3.28202E+17,N,@Shell_568 Aye and the kennel's called Fluoxetine!
3.28218E+17,Y,"Have run out of Olanzapine, was tapering off anyway but this is a bit too quick-feel restless. Hot bath and diazepam time :("
3.28219E+17,N,Also the lamotrigine dose feels a bit high too now the O is leaving my system. Will have to adjust that as well or I won't sleep *sigh*
